prefLabel,id,from_to,matchType,text
Volume,http://psink.de/scio/Volume,627-632|3088-3093|3311-3316|9985-9990|10373-10378|11426-11431|13130-13135|13263-13268|23339-23344|23420-23425|24537-24542|24598-24603|24900-24905|24961-24966|27233-27238|28787-28792,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,VOLUME|VOLUME|VOLUME|VOLUME|VOLUME|VOLUME|VOLUME|VOLUME|VOLUME|VOLUME|VOLUME|VOLUME|VOLUME|VOLUME|VOLUME|VOLUME
Location,http://psink.de/scio/Location,708-715|3098-3105|10017-10024|10574-10581|11465-11472|12717-12724|13012-13019|13706-13713|15024-15031|18931-18938|20218-20225|22150-22157|22838-22845|23895-23902|27471-27478,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,LOCATION|LOCATION|LOCATION|LOCATION|LOCATION|LOCATION|LOCATION|LOCATION|LOCATION|LOCATION|LOCATION|LOCATION|LOCATION|LOCATION|LOCATION
Function,http://psink.de/scio/Function,817-824|1912-1919|2320-2327|2646-2653|2720-2727|2893-2900|2972-2979|3676-3683|4492-4499|7855-7862|11487-11494|12285-12292|12559-12566|15793-15800|17549-17556|18013-18020|18495-18502|19070-19077|19817-19824|25305-25312|25825-25832|26389-26396|28201-28208|30864-30871,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION
Pressure,http://psink.de/scio/Pressure,855-862|7923-7930|8525-8532|8763-8770|8914-8921|23852-23859,PREF|PREF|PREF|PREF|PREF|PREF,PRESSURE|PRESSURE|PRESSURE|PRESSURE|PRESSURE|PRESSURE
Brain,http://psink.de/scio/Brain,1315-1319|26705-26709|31779-31783,PREF|PREF|PREF,BRAIN|BRAIN|BRAIN
Duration,http://psink.de/scio/Duration,1607-1614|6022-6029,PREF|PREF,DURATION|DURATION
Observation,http://psink.de/scio/Observation,2030-2040|6828-6838|7108-7118|21918-21928|22788-22798,PREF|PREF|PREF|PREF|PREF,OBSERVATION|OBSERVATION|OBSERVATION|OBSERVATION|OBSERVATION
Hypothesis,http://psink.de/scio/Hypothesis,2994-3003|7205-7214|26414-26423,PREF|PREF|PREF,HYPOTHESIS|HYPOTHESIS|HYPOTHESIS
Gender,http://psink.de/scio/Gender,3814-3819,PREF,GENDER
Treatment,http://psink.de/scio/Treatment,4472-4480,PREF,TREATMENT
Electrodes,http://psink.de/scio/Electrodes,4810-4819|20456-20465|20732-20741|20782-20791,PREF|PREF|PREF|PREF,ELECTRODES|ELECTRODES|ELECTRODES|ELECTRODES
Direction,http://psink.de/scio/Direction,4861-4869|11068-11076|13052-13060|15099-15107|15206-15214|16165-16173|20173-20181,PREF|PREF|PREF|PREF|PREF|PREF|PREF,DIRECTION|DIRECTION|DIRECTION|DIRECTION|DIRECTION|DIRECTION|DIRECTION
Force,http://psink.de/scio/Force,6868-6872|8956-8960,PREF|PREF,FORCE|FORCE
Distance,http://psink.de/scio/Distance,8148-8155|14638-14645|15938-15945|18078-18085|23772-23779,PREF|PREF|PREF|PREF|PREF,DISTANCE|DISTANCE|DISTANCE|DISTANCE|DISTANCE
Significance,http://psink.de/scio/Significance,12632-12643|19409-19420|19569-19580|27637-27648|27924-27935,PREF|PREF|PREF|PREF|PREF,SIGNIFICANCE|SIGNIFICANCE|SIGNIFICANCE|SIGNIFICANCE|SIGNIFICANCE
Change,http://psink.de/scio/Change,19589-19594|27659-27664,PREF|PREF,CHANGE|CHANGE
Current,http://psink.de/scio/Current,21881-21887|24291-24297|25233-25239|30031-30037,PREF|PREF|PREF|PREF,CURRENT|CURRENT|CURRENT|CURRENT
Left,http://psink.de/scio/Left,24467-24470,PREF,LEFT
Right,http://psink.de/scio/Right,24821-24825,PREF,RIGHT
Thickness,http://psink.de/scio/Thickness,27401-27409,PREF,THICKNESS
Increase,http://psink.de/scio/Increase,29565-29572,PREF,INCREASE
Age,http://psink.de/scio/Age,31672-31674,PREF,AGE
