prefLabel,id,from_to,matchType,text
Result,http://psink.de/scio/Result,1702-1707|2899-2904|3189-3194|21766-21771|23645-23650|23840-23845|25603-25608|27040-27045,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,RESULT|RESULT|RESULT|RESULT|RESULT|RESULT|RESULT|RESULT
Increase,http://psink.de/scio/Increase,2573-2580|25893-25900|26685-26692|32503-32510,PREF|PREF|PREF|PREF,INCREASE|INCREASE|INCREASE|INCREASE
Decrease,http://psink.de/scio/Decrease,2654-2661|26576-26583,PREF|PREF,DECREASE|DECREASE
Change,http://psink.de/scio/Change,2689-2694,PREF,CHANGE
Force,http://psink.de/scio/Force,2739-2743|2850-2854|7983-7987|10497-10501|11054-11058|11740-11744|21264-21268|32993-32997|33832-33836,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE
Publication,http://psink.de/scio/Publication,4104-4114,PREF,PUBLICATION
Judgement,http://psink.de/scio/Judgement,4389-4397,PREF,JUDGEMENT
Duration,http://psink.de/scio/Duration,5187-5194|9193-9200|15301-15308,PREF|PREF|PREF,DURATION|DURATION|DURATION
Significance,http://psink.de/scio/Significance,5504-5515|5756-5767|17565-17576|21418-21429,PREF|PREF|PREF|PREF,SIGNIFICANCE|SIGNIFICANCE|SIGNIFICANCE|SIGNIFICANCE
Age,http://psink.de/scio/Age,6906-6908|8948-8950,PREF|PREF,AGE|AGE
Experiment,http://psink.de/scio/Experiment,8218-8227|12481-12490|13330-13339|19538-19547|19892-19901|20057-20066|22763-22772,PREF|PREF|PREF|PREF|PREF|PREF|PREF,EXPERIMENT|EXPERIMENT|EXPERIMENT|EXPERIMENT|EXPERIMENT|EXPERIMENT|EXPERIMENT
Weight,http://psink.de/scio/Weight,8556-8561|8965-8970|10849-10854|11844-11849|18486-18491|18642-18647|18785-18790|18904-18909,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,WEIGHT|WEIGHT|WEIGHT|WEIGHT|WEIGHT|WEIGHT|WEIGHT|WEIGHT
Treatment,http://psink.de/scio/Treatment,9336-9344,PREF,TREATMENT
Left,http://psink.de/scio/Left,10413-10416|10584-10587|16120-16123,PREF|PREF|PREF,LEFT|LEFT|LEFT
Right,http://psink.de/scio/Right,10422-10426,PREF,RIGHT
Direction,http://psink.de/scio/Direction,11980-11988|12019-12027|32300-32308,PREF|PREF|PREF,DIRECTION|DIRECTION|DIRECTION
Recovery,http://psink.de/scio/Recovery,20288-20295,PREF,RECOVERY
Cell,http://psink.de/scio/Cell,21240-21243,PREF,CELL
Injury,http://psink.de/scio/Injury,22956-22961,PREF,INJURY
Hypothesis,http://psink.de/scio/Hypothesis,28879-28888,PREF,HYPOTHESIS
Function,http://psink.de/scio/Function,31318-31325,PREF,FUNCTION
