prefLabel,id,from_to,matchType,text
Compression,http://psink.de/scio/Compression,550-560|10691-10701|10901-10911|11379-11389|11542-11552|12319-12329|12396-12406|13542-13552|13832-13842|14718-14728|17322-17332|20671-20681,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,COMPRESSION|COMPRESSION|COMPRESSION|COMPRESSION|COMPRESSION|COMPRESSION|COMPRESSION|COMPRESSION|COMPRESSION|COMPRESSION|COMPRESSION|COMPRESSION
Weight,http://psink.de/scio/Weight,1077-1082|1128-1133|4961-4966|5561-5566|9705-9710|9789-9794|9828-9833|9939-9944|13693-13698|14606-14611|15908-15913|16053-16058|16296-16301|22509-22514,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,WEIGHT|WEIGHT|WEIGHT|WEIGHT|WEIGHT|WEIGHT|WEIGHT|WEIGHT|WEIGHT|WEIGHT|WEIGHT|WEIGHT|WEIGHT|WEIGHT
Gender,http://psink.de/scio/Gender,4115-4120|8453-8458,PREF|PREF,GENDER|GENDER
Force,http://psink.de/scio/Force,4398-4402|6875-6879|10035-10039,PREF|PREF|PREF,FORCE|FORCE|FORCE
Injury,http://psink.de/scio/Injury,4481-4486,PREF,INJURY
Distance,http://psink.de/scio/Distance,5381-5388|15440-15447,PREF|PREF,DISTANCE|DISTANCE
Electrodes,http://psink.de/scio/Electrodes,5847-5856|5863-5872|9279-9288,PREF|PREF|PREF,ELECTRODES|ELECTRODES|ELECTRODES
Right,http://psink.de/scio/Right,5941-5945,PREF,RIGHT
Left,http://psink.de/scio/Left,5951-5954,PREF,LEFT
Location,http://psink.de/scio/Location,8517-8524,PREF,LOCATION
Experiment,http://psink.de/scio/Experiment,9541-9550,PREF,EXPERIMENT
Increase,http://psink.de/scio/Increase,9807-9814|12913-12920|13643-13650|13876-13883|13944-13951|15291-15298,PREF|PREF|PREF|PREF|PREF|PREF,INCREASE|INCREASE|INCREASE|INCREASE|INCREASE|INCREASE
Current,http://psink.de/scio/Current,13743-13749|16957-16963|18406-18412|18835-18841|19226-19232,PREF|PREF|PREF|PREF|PREF,CURRENT|CURRENT|CURRENT|CURRENT|CURRENT
Recovery,http://psink.de/scio/Recovery,16322-16329,PREF,RECOVERY
Result,http://psink.de/scio/Result,20190-20195,PREF,RESULT
Function,http://psink.de/scio/Function,20901-20908|22194-22201|24181-24188|25216-25223,PREF|PREF|PREF|PREF,FUNCTION|FUNCTION|FUNCTION|FUNCTION
Direction,http://psink.de/scio/Direction,23381-23389,PREF,DIRECTION
