prefLabel,id,from_to,matchType,text
Age,http://psink.de/scio/Age,1774-1776|1815-1817|2056-2058|2318-2320|2353-2355|2431-2433|4062-4064|5269-5271|5701-5703|6257-6259|6832-6834|7178-7180|8048-8050|8189-8191|12463-12465|12568-12570|12660-12662|12895-12897|13055-13057|13239-13241|13263-13265|14834-14836|14986-14988|15642-15644|15974-15976|20236-20238|20286-20288|23178-23180|23383-23385|23525-23527|23835-23837,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,AGE|AGE|AGE|AGE|AGE|AGE|AGE|AGE|AGE|AGE|AGE|AGE|AGE|AGE|AGE|AGE|AGE|AGE|AGE|AGE|AGE|AGE|AGE|AGE|AGE|AGE|AGE|AGE|AGE|AGE|AGE
Location,http://psink.de/scio/Location,5277-5284|6888-6895,PREF|PREF,LOCATION|LOCATION
Gender,http://psink.de/scio/Gender,5770-5775|7261-7266|13247-13252|14411-14416,PREF|PREF|PREF|PREF,GENDER|GENDER|GENDER|GENDER
Weight,http://psink.de/scio/Weight,6778-6783,PREF,WEIGHT
Result,http://psink.de/scio/Result,13767-13772|15113-15118,PREF|PREF,RESULT|RESULT
Trend,http://psink.de/scio/Trend,14418-14422,PREF,TREND
Increase,http://psink.de/scio/Increase,14950-14957|15884-15891|16410-16417|17559-17566|19186-19193,PREF|PREF|PREF|PREF|PREF,INCREASE|INCREASE|INCREASE|INCREASE|INCREASE
Function,http://psink.de/scio/Function,15063-15070,PREF,FUNCTION
Decrease,http://psink.de/scio/Decrease,15328-15335|23810-23817,PREF|PREF,DECREASE|DECREASE
Current,http://psink.de/scio/Current,18104-18110,PREF,CURRENT
Treatment,http://psink.de/scio/Treatment,18810-18818|24381-24389,PREF|PREF,TREATMENT|TREATMENT
Publication,http://psink.de/scio/Publication,21429-21439,PREF,PUBLICATION
