prefLabel,id,from_to,matchType,text
Brain,http://psink.de/scio/Brain,245-249|950-954|2205-2209|2292-2296|8191-8195|8677-8681|13318-13322|13486-13490|15756-15760,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,BRAIN|BRAIN|BRAIN|BRAIN|BRAIN|BRAIN|BRAIN|BRAIN|BRAIN
Result,http://psink.de/scio/Result,329-334|4679-4684|8087-8092,PREF|PREF|PREF,RESULT|RESULT|RESULT
Person,http://psink.de/scio/Person,3826-3831|10749-10754,PREF|PREF,PERSON|PERSON
Change,http://psink.de/scio/Change,4023-4028|10113-10118|10226-10231,PREF|PREF|PREF,CHANGE|CHANGE|CHANGE
Constraint,http://psink.de/scio/Constraint,6166-6175,PREF,CONSTRAINT
Treatment,http://psink.de/scio/Treatment,9268-9276|10513-10521|12129-12137|12747-12755|18219-18227,PREF|PREF|PREF|PREF|PREF,TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT
Current,http://psink.de/scio/Current,11686-11692,PREF,CURRENT
