prefLabel,id,from_to,matchType,text
Treatment,http://psink.de/scio/Treatment,457-465,PREF,TREATMENT
Result,http://psink.de/scio/Result,2549-2554,PREF,RESULT
Vertebrae,http://psink.de/scio/Vertebrae,3129-3137|7551-7559|10502-10510|20197-20205,PREF|PREF|PREF|PREF,VERTEBRAE|VERTEBRAE|VERTEBRAE|VERTEBRAE
Force,http://psink.de/scio/Force,3788-3792|3868-3872|3976-3980|4260-4264|11903-11907|11948-11952|12770-12774|12861-12865|13053-13057|14531-14535|18438-18442|23286-23290,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE
Right,http://psink.de/scio/Right,4666-4670|12699-12703|13128-13132|13160-13164,PREF|PREF|PREF|PREF,RIGHT|RIGHT|RIGHT|RIGHT
Left,http://psink.de/scio/Left,4692-4695|12710-12713|12736-12739|12823-12826|13029-13032,PREF|PREF|PREF|PREF|PREF,LEFT|LEFT|LEFT|LEFT|LEFT
Gender,http://psink.de/scio/Gender,4899-4904|19787-19792,PREF|PREF,GENDER|GENDER
Distance,http://psink.de/scio/Distance,6417-6424|9087-9094|20337-20344,PREF|PREF|PREF,DISTANCE|DISTANCE|DISTANCE
Location,http://psink.de/scio/Location,6931-6938|8714-8721,PREF|PREF,LOCATION|LOCATION
Function,http://psink.de/scio/Function,7499-7506,PREF,FUNCTION
Age,http://psink.de/scio/Age,9539-9541|10817-10819|19815-19817|21406-21408|24033-24035,PREF|PREF|PREF|PREF|PREF,AGE|AGE|AGE|AGE|AGE
Weight,http://psink.de/scio/Weight,10835-10840|14270-14275|19803-19808,PREF|PREF|PREF,WEIGHT|WEIGHT|WEIGHT
Event,http://psink.de/scio/Event,13087-13091|13179-13183|13416-13420,PREF|PREF|PREF,EVENT|EVENT|EVENT
Tissue,http://psink.de/scio/Tissue,14326-14331|20954-20959,PREF|PREF,TISSUE|TISSUE
Increase,http://psink.de/scio/Increase,16664-16671|19822-19829,PREF|PREF,INCREASE|INCREASE
