prefLabel,id,from_to,matchType,text
Current,http://psink.de/scio/Current,884-890|15685-15691|16293-16299|18612-18618|19075-19081,PREF|PREF|PREF|PREF|PREF,CURRENT|CURRENT|CURRENT|CURRENT|CURRENT
Function,http://psink.de/scio/Function,1476-1483|12292-12299|12379-12386|12640-12647|21581-21588,PREF|PREF|PREF|PREF|PREF,FUNCTION|FUNCTION|FUNCTION|FUNCTION|FUNCTION
Recovery,http://psink.de/scio/Recovery,1491-1498|18875-18882,PREF|PREF,RECOVERY|RECOVERY
Change,http://psink.de/scio/Change,1695-1700|2510-2515|3231-3236|12178-12183|13700-13705|14032-14037|15969-15974|16565-16570,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,CHANGE|CHANGE|CHANGE|CHANGE|CHANGE|CHANGE|CHANGE|CHANGE
Age,http://psink.de/scio/Age,4100-4102|4198-4200,PREF|PREF,AGE|AGE
Weight,http://psink.de/scio/Weight,4144-4149|4242-4247,PREF|PREF,WEIGHT|WEIGHT
Treatment,http://psink.de/scio/Treatment,4595-4603|22168-22176,PREF|PREF,TREATMENT|TREATMENT
Electrodes,http://psink.de/scio/Electrodes,5693-5702|6362-6371|16392-16401|16545-16554|21091-21100,PREF|PREF|PREF|PREF|PREF,ELECTRODES|ELECTRODES|ELECTRODES|ELECTRODES|ELECTRODES
Experiment,http://psink.de/scio/Experiment,6333-6342|19083-19092,PREF|PREF,EXPERIMENT|EXPERIMENT
Distance,http://psink.de/scio/Distance,6440-6447|6960-6967,PREF|PREF,DISTANCE|DISTANCE
Right,http://psink.de/scio/Right,6589-6593|6718-6722|8892-8896|9842-9846,PREF|PREF|PREF|PREF,RIGHT|RIGHT|RIGHT|RIGHT
Left,http://psink.de/scio/Left,6728-6731|8883-8886,PREF|PREF,LEFT|LEFT
Direction,http://psink.de/scio/Direction,7358-7366|7727-7735|7837-7845|8714-8722|9294-9302|10631-10639|10675-10683|10701-10709|10906-10914,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,DIRECTION|DIRECTION|DIRECTION|DIRECTION|DIRECTION|DIRECTION|DIRECTION|DIRECTION|DIRECTION
Hypothesis,http://psink.de/scio/Hypothesis,9008-9017,PREF,HYPOTHESIS
Significance,http://psink.de/scio/Significance,9359-9370,PREF,SIGNIFICANCE
Injury,http://psink.de/scio/Injury,13554-13559|18431-18436|19401-19406|20048-20053|20541-20546,PREF|PREF|PREF|PREF|PREF,INJURY|INJURY|INJURY|INJURY|INJURY
Brain,http://psink.de/scio/Brain,19722-19726,PREF,BRAIN
Increase,http://psink.de/scio/Increase,22863-22870,PREF,INCREASE
