prefLabel,id,from_to,matchType,text
Significant,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41130,12221-12231|13914-13924|17898-17908,PREF|PREF|PREF,SIGNIFICANT|SIGNIFICANT|SIGNIFICANT
Dominant Hand,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C114182,12352-12364|12484-12496,PREF|PREF,DOMINANT HAND|DOMINANT HAND
Column,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43379,12749-12754,PREF,COLUMN
Column,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61516,12749-12754,PREF,COLUMN
Multidimensional,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C67503,12955-12970|36248-36263|44225-44240,PREF|PREF|PREF,MULTIDIMENSIONAL|MULTIDIMENSIONAL|MULTIDIMENSIONAL
Scaling,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C67036,12972-12978|36265-36271|39316-39322|44242-44248,PREF|PREF|PREF|PREF,SCALING|SCALING|SCALING|SCALING
Space,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63629,13025-13029|30302-30306|36358-36362|41505-41509,PREF|PREF|PREF|PREF,SPACE|SPACE|SPACE|SPACE
Corrected,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37934,13080-13088,PREF,CORRECTED
Reduction,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C157203,13098-13106|27960-27968|28054-28062,PREF|PREF|PREF,REDUCTION|REDUCTION|REDUCTION
Width,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25345,13538-13542|39785-39789,PREF|PREF,WIDTH|WIDTH
Arbitrary,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C84309,13563-13571|36616-36624|41615-41623|41722-41730,PREF|PREF|PREF|PREF,ARBITRARY|ARBITRARY|ARBITRARY|ARBITRARY
Spacing,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45786,13599-13605,PREF,SPACING
Best,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25432,13632-13635|15210-15213|20016-20019|39832-39835,PREF|PREF|PREF|PREF,BEST|BEST|BEST|BEST
