prefLabel,id,from_to,matchType,text
Research,http://purl.bioontology.org/ontology/MESH/D012106,16057-16064|22084-22091,PREF|PREF,RESEARCH|RESEARCH
Extremities,http://purl.bioontology.org/ontology/MESH/D005121,17087-17097|22840-22850,PREF|PREF,EXTREMITIES|EXTREMITIES
Epidemiology,http://purl.bioontology.org/ontology/MESH/D004813,17673-17684,PREF,EPIDEMIOLOGY
epidemiology,http://purl.bioontology.org/ontology/MESH/Q000453,17673-17684,PREF,EPIDEMIOLOGY
Musculoskeletal Pain,http://purl.bioontology.org/ontology/MESH/D059352,17697-17716,PREF,MUSCULOSKELETAL PAIN
Lordosis,http://purl.bioontology.org/ontology/MESH/D008141,18254-18261,PREF,LORDOSIS
Risk,http://purl.bioontology.org/ontology/MESH/D012306,18524-18527|18667-18670,PREF|PREF,RISK|RISK
Work,http://purl.bioontology.org/ontology/MESH/D014937,18642-18645,PREF,WORK
Risk Factors,http://purl.bioontology.org/ontology/MESH/D012307,18667-18678,PREF,RISK FACTORS
Gait,http://purl.bioontology.org/ontology/MESH/D005684,18772-18775|19572-19575|22110-22113|23013-23016|23333-23336|23339-23342,PREF|PREF|PREF|PREF|PREF|PREF,GAIT|GAIT|GAIT|GAIT|GAIT|GAIT
Switzerland,http://purl.bioontology.org/ontology/MESH/D013557,18989-18999,PREF,SWITZERLAND
Aging,http://purl.bioontology.org/ontology/MESH/D000375,19801-19805,PREF,AGING
Exercise,http://purl.bioontology.org/ontology/MESH/D015444,20030-20037,PREF,EXERCISE
Magnetic Resonance Imaging,http://purl.bioontology.org/ontology/MESH/D008279,21017-21042,PREF,MAGNETIC RESONANCE IMAGING
Foot,http://purl.bioontology.org/ontology/MESH/D005528,21221-21224|21347-21350,PREF|PREF,FOOT|FOOT
Photogrammetry,http://purl.bioontology.org/ontology/MESH/D010780,21242-21255,PREF,PHOTOGRAMMETRY
Ankle,http://purl.bioontology.org/ontology/MESH/D000842,21356-21360,PREF,ANKLE
Gait Analysis,http://purl.bioontology.org/ontology/MESH/D000077107,22110-22122|23013-23025,PREF|PREF,GAIT ANALYSIS|GAIT ANALYSIS
Computer Graphics,http://purl.bioontology.org/ontology/MESH/D003196,22726-22742,PREF,COMPUTER GRAPHICS
Hip Joint,http://purl.bioontology.org/ontology/MESH/D006621,23219-23227,PREF,HIP JOINT
Kinetics,http://purl.bioontology.org/ontology/MESH/D007700,23317-23324,PREF,KINETICS
