prefLabel,id,from_to,matchType,text
Compression,http://psink.de/scio/Compression,550-560|10804-10814|11014-11024|11492-11502|11655-11665|12432-12442|12509-12519|13655-13665|13945-13955|14831-14841|17435-17445|20784-20794,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,COMPRESSION|COMPRESSION|COMPRESSION|COMPRESSION|COMPRESSION|COMPRESSION|COMPRESSION|COMPRESSION|COMPRESSION|COMPRESSION|COMPRESSION|COMPRESSION
Weight,http://psink.de/scio/Weight,1077-1082|1128-1133|4961-4966|5535-5540|9897-9902|9981-9986|10020-10025|10131-10136|13806-13811|14719-14724|16021-16026|16166-16171|16409-16414|22900-22905,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,WEIGHT|WEIGHT|WEIGHT|WEIGHT|WEIGHT|WEIGHT|WEIGHT|WEIGHT|WEIGHT|WEIGHT|WEIGHT|WEIGHT|WEIGHT|WEIGHT
Gender,http://psink.de/scio/Gender,4115-4120|8645-8650,PREF|PREF,GENDER|GENDER
Force,http://psink.de/scio/Force,4398-4402|6849-6853|10227-10231,PREF|PREF|PREF,FORCE|FORCE|FORCE
Injury,http://psink.de/scio/Injury,4481-4486,PREF,INJURY
Distance,http://psink.de/scio/Distance,5381-5388|15553-15560,PREF|PREF,DISTANCE|DISTANCE
Electrodes,http://psink.de/scio/Electrodes,5821-5830|5837-5846|9471-9480,PREF|PREF|PREF,ELECTRODES|ELECTRODES|ELECTRODES
Right,http://psink.de/scio/Right,5915-5919,PREF,RIGHT
Left,http://psink.de/scio/Left,5925-5928,PREF,LEFT
Location,http://psink.de/scio/Location,8709-8716,PREF,LOCATION
Experiment,http://psink.de/scio/Experiment,9733-9742,PREF,EXPERIMENT
Increase,http://psink.de/scio/Increase,9999-10006|13026-13033|13756-13763|13989-13996|14057-14064|15404-15411,PREF|PREF|PREF|PREF|PREF|PREF,INCREASE|INCREASE|INCREASE|INCREASE|INCREASE|INCREASE
Current,http://psink.de/scio/Current,13856-13862|17070-17076|18519-18525|18948-18954|19339-19345,PREF|PREF|PREF|PREF|PREF,CURRENT|CURRENT|CURRENT|CURRENT|CURRENT
Recovery,http://psink.de/scio/Recovery,16435-16442,PREF,RECOVERY
Result,http://psink.de/scio/Result,20303-20308,PREF,RESULT
Function,http://psink.de/scio/Function,21014-21021|22307-22314|25451-25458,PREF|PREF|PREF,FUNCTION|FUNCTION|FUNCTION
Direction,http://psink.de/scio/Direction,23772-23780,PREF,DIRECTION
