prefLabel,id,from_to,matchType,text
Hypothesis,http://psink.de/scio/Hypothesis,1078-1087,PREF,HYPOTHESIS
Experiment,http://psink.de/scio/Experiment,3980-3989|8181-8190|26565-26574|30511-30520|30572-30581|39187-39196|39393-39402|41933-41942,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,EXPERIMENT|EXPERIMENT|EXPERIMENT|EXPERIMENT|EXPERIMENT|EXPERIMENT|EXPERIMENT|EXPERIMENT
Force,http://psink.de/scio/Force,4148-4152|10216-10220|16470-16474|19698-19702|19864-19868|23211-23215|27479-27483|27602-27606|28814-28818|28880-28884|29178-29182|31066-31070|40788-40792|43612-43616|43785-43789,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE|FORCE
Distance,http://psink.de/scio/Distance,4941-4948|5130-5137|6332-6339|10910-10917|11040-11047|11262-11269|11306-11313|12088-12095|13486-13493|13645-13652|16024-16031|17017-17024|17192-17199|17327-17334|18094-18101|18259-18266|18787-18794|19224-19231|20719-20726|31488-31495|33530-33537|33544-33551|33655-33662|33990-33997|35477-35484|35695-35702|35947-35954|37611-37618|37749-37756|37881-37888|38027-38034|39919-39926|41895-41902|42471-42478,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,DISTANCE|DISTANCE|DISTANCE|DISTANCE|DISTANCE|DISTANCE|DISTANCE|DISTANCE|DISTANCE|DISTANCE|DISTANCE|DISTANCE|DISTANCE|DISTANCE|DISTANCE|DISTANCE|DISTANCE|DISTANCE|DISTANCE|DISTANCE|DISTANCE|DISTANCE|DISTANCE|DISTANCE|DISTANCE|DISTANCE|DISTANCE|DISTANCE|DISTANCE|DISTANCE|DISTANCE|DISTANCE|DISTANCE|DISTANCE
Result,http://psink.de/scio/Result,5949-5954|18011-18016|20937-20942|24607-24612|37573-37578,PREF|PREF|PREF|PREF|PREF,RESULT|RESULT|RESULT|RESULT|RESULT
Left,http://psink.de/scio/Left,7148-7151|10282-10285|11688-11691|28668-28671|30012-30015,PREF|PREF|PREF|PREF|PREF,LEFT|LEFT|LEFT|LEFT|LEFT
Right,http://psink.de/scio/Right,7183-7187|10259-10263|10487-10491|11667-11671|12012-12016|12115-12119|12892-12896|15740-15744|16280-16284|28539-28543|28677-28681|30021-30025|38892-38896,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,RIGHT|RIGHT|RIGHT|RIGHT|RIGHT|RIGHT|RIGHT|RIGHT|RIGHT|RIGHT|RIGHT|RIGHT|RIGHT
Volume,http://psink.de/scio/Volume,8092-8097|32675-32680,PREF|PREF,VOLUME|VOLUME
Function,http://psink.de/scio/Function,12696-12703|31250-31257|31377-31384,PREF|PREF|PREF,FUNCTION|FUNCTION|FUNCTION
Electrodes,http://psink.de/scio/Electrodes,15676-15685|41052-41061|41809-41818,PREF|PREF|PREF,ELECTRODES|ELECTRODES|ELECTRODES
Brain,http://psink.de/scio/Brain,27317-27321,PREF,BRAIN
Current,http://psink.de/scio/Current,27360-27366,PREF,CURRENT
Age,http://psink.de/scio/Age,28597-28599|30358-30360|30669-30671|40459-40461,PREF|PREF|PREF|PREF,AGE|AGE|AGE|AGE
Duration,http://psink.de/scio/Duration,31260-31267,PREF,DURATION
Depth,http://psink.de/scio/Depth,31717-31721,PREF,DEPTH
Person,http://psink.de/scio/Person,33176-33181,PREF,PERSON
Change,http://psink.de/scio/Change,34807-34812|43791-43796,PREF|PREF,CHANGE|CHANGE
