prefLabel,id,from_to,matchType,text
Present,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25626,141-145|1505-1509|1883-1887|4734-4738|6921-6927|11462-11466|20506-20510|22635-22639|33715-33719|36290-36294|36949-36956,SYN|SYN|SYN|SYN|PREF|SYN|SYN|SYN|SYN|SYN|SYN,FOUND|FOUND|FOUND|FOUND|PRESENT|FOUND|FOUND|FOUND|FOUND|FOUND|PRESENCE
Specified,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38024,161-168|2337-2344|2872-2879|3666-3673|4251-4258|6154-6161|6297-6304|6507-6514|7568-7575|7678-7685|34142-34149|34208-34215|40050-40058|41556-41563,SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|PREF|SYN,SPECIFIC|SPECIFIC|SPECIFIC|SPECIFIC|SPECIFIC|SPECIFIC|SPECIFIC|SPECIFIC|SPECIFIC|SPECIFIC|SPECIFIC|SPECIFIC|SPECIFIED|SPECIFIC
Activation,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C64382,182-191|1543-1552|1722-1731|1775-1783|5038-5047|5189-5197|5223-5231|6803-6812|7058-7067|8925-8934|9328-9337|9509-9518|9569-9578|11313-11322|13312-13321|13920-13929|14496-14505|14659-14668|15455-15464|17546-17555|22076-22083|22441-22448|22893-22902|25657-25666|31067-31076|32656-32665|32854-32863|34630-34639|39086-39095|39395-39404|41541-41550|41993-42001,PREF|PREF|PREF|SYN|PREF|SYN|SYN|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|SYN|SYN|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|SYN,ACTIVATION|ACTIVATION|ACTIVATION|ACTIVATED|ACTIVATION|ACTIVATED|ACTIVATED|ACTIVATION|ACTIVATION|ACTIVATION|ACTIVATION|ACTIVATION|ACTIVATION|ACTIVATION|ACTIVATION|ACTIVATION|ACTIVATION|ACTIVATION|ACTIVATION|ACTIVATION|ACTIVATE|ACTIVATE|ACTIVATION|ACTIVATION|ACTIVATION|ACTIVATION|ACTIVATION|ACTIVATION|ACTIVATION|ACTIVATION|ACTIVATION|ACTIVATED
Stable,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C30103,203-208|2019-2024|2370-2375|7877-7882|8177-8182|16539-16544,PREF|PREF|PREF|PREF|PREF|PREF,STABLE|STABLE|STABLE|STABLE|STABLE|STABLE
Stability,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54072,203-208|2019-2024|2161-2169|2370-2375|7419-7427|7877-7882|8177-8182|16539-16544|25955-25963|34185-34193,SYN|SYN|PREF|SYN|PREF|SYN|SYN|SYN|PREF|PREF,STABLE|STABLE|STABILITY|STABLE|STABILITY|STABLE|STABLE|STABLE|STABILITY|STABILITY
Person,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25190,218-227|529-538|676-685|1752-1761|1894-1903|6227-6236|6936-6945|8633-8642|8696-8705|9300-9309|10797-10806|13534-13543|22085-22094|22169-22178|22218-22227|31502-31511|31967-31976|32007-32016|33045-33050|35917-35926|37177-37186|37309-37318|37455-37464|37540-37549|40006-40015|42630-42639,SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|PREF|SYN|SYN|SYN|SYN|SYN|SYN|SYN,INDIVIDUAL|INDIVIDUAL|INDIVIDUAL|INDIVIDUAL|INDIVIDUAL|INDIVIDUAL|INDIVIDUAL|INDIVIDUAL|INDIVIDUAL|INDIVIDUAL|INDIVIDUAL|INDIVIDUAL|INDIVIDUAL|INDIVIDUAL|INDIVIDUAL|INDIVIDUAL|INDIVIDUAL|INDIVIDUAL|PERSON|INDIVIDUAL|INDIVIDUAL|INDIVIDUAL|INDIVIDUAL|INDIVIDUAL|INDIVIDUAL|INDIVIDUAL
High,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25227,236-241|856-861|2427-2430|4143-4146|6011-6014|6422-6425|6858-6863|8060-8065|8257-8262|8544-8549|10509-10514|11211-11216|11997-12002|15522-15525|17256-17261|17750-17755|21830-21835|23065-23068|23088-23093|24080-24083|40470-40473,SYN|SYN|PREF|PREF|PREF|PREF|SYN|SYN|SYN|SYN|SYN|SYN|SYN|PREF|SYN|SYN|SYN|PREF|SYN|PREF|PREF,HIGHLY|HIGHLY|HIGH|HIGH|HIGH|HIGH|HIGHLY|HIGHER|HIGHLY|HIGHLY|HIGHLY|HIGHER|HIGHLY|HIGH|HIGHLY|HIGHLY|HIGHLY|HIGH|HIGHER|HIGH|HIGH
Variable,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54166,243-250|3697-3704,PREF|PREF,VARIABLE|VARIABLE
Cross,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C81171,252-257|1239-1244|2900-2905|3706-3711|4343-4348|4913-4917|5413-5418|6875-6880|7373-7378|7429-7434|8184-8189|8275-8280|8561-8566|12493-12498|12677-12681|12918-12923|16546-16551|18410-18414|21084-21089|24855-24860|31438-31443|31727-31732|32473-32478|32791-32796|32870-32875|33285-33290|34160-34165|34722-34726|35495-35500|36392-36397|36443-36448|37954-37959|38042-38047|38302-38307|40828-40832|42998-43003|43237-43242,SYN|SYN|SYN|SYN|SYN|PREF|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|PREF|SYN|SYN|PREF|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|SYN|PREF|SYN|SYN|SYN|SYN|SYN|SYN|PREF|SYN|SYN,ACROSS|ACROSS|ACROSS|ACROSS|ACROSS|CROSS|ACROSS|ACROSS|ACROSS|ACROSS|ACROSS|ACROSS|ACROSS|ACROSS|CROSS|ACROSS|ACROSS|CROSS|ACROSS|ACROSS|ACROSS|ACROSS|ACROSS|ACROSS|ACROSS|ACROSS|ACROSS|CROSS|ACROSS|ACROSS|ACROSS|ACROSS|ACROSS|ACROSS|CROSS|ACROSS|ACROSS
Organization,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C92453,296-307|1098-1109|1488-1499|2763-2774|3825-3836|4454-4465|4714-4725|5400-5411|6544-6555|25417-25428|26795-26806|27762-27773,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,ORGANIZATION|ORGANIZATION|ORGANIZATION|ORGANIZATION|ORGANIZATION|ORGANIZATION|ORGANIZATION|ORGANIZATION|ORGANIZATION|ORGANIZATION|ORGANIZATION|ORGANIZATION
Random,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C60702,317-322|4418-4423|29524-29529,PREF|PREF|PREF,RANDOM|RANDOM|RANDOM
Variation,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25713,324-332|4427-4435|43057-43065,PREF|PREF|SYN,VARIATION|VARIATION|DEVIATION
