prefLabel,id,from_to,matchType,text
Brain,http://psink.de/scio/Brain,245-249|950-954|2205-2209|2292-2296|8191-8195|8851-8855|13492-13496|13660-13664|15882-15886,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,BRAIN|BRAIN|BRAIN|BRAIN|BRAIN|BRAIN|BRAIN|BRAIN|BRAIN
Result,http://psink.de/scio/Result,329-334|4679-4684|8087-8092,PREF|PREF|PREF,RESULT|RESULT|RESULT
Person,http://psink.de/scio/Person,3826-3831|10923-10928,PREF|PREF,PERSON|PERSON
Change,http://psink.de/scio/Change,4023-4028|10287-10292|10400-10405,PREF|PREF|PREF,CHANGE|CHANGE|CHANGE
Constraint,http://psink.de/scio/Constraint,6166-6175,PREF,CONSTRAINT
Treatment,http://psink.de/scio/Treatment,9442-9450|10687-10695|12303-12311|12921-12929|18345-18353,PREF|PREF|PREF|PREF|PREF,TREATMENT|TREATMENT|TREATMENT|TREATMENT|TREATMENT
Current,http://psink.de/scio/Current,11860-11866,PREF,CURRENT
