prefLabel,id,from_to,matchType,text
Age,http://psink.de/scio/Age,1774-1776|1815-1817|2056-2058|2318-2320|2353-2355|2431-2433|4163-4165|5370-5372|5802-5804|6358-6360|6933-6935|7279-7281|8149-8151|8290-8292|12564-12566|12669-12671|12761-12763|12996-12998|13156-13158|13313-13315|13393-13395|14964-14966|15116-15118|15772-15774|16104-16106|20366-20368|20416-20418|23308-23310|23513-23515|23655-23657|23965-23967,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,AGE|AGE|AGE|AGE|AGE|AGE|AGE|AGE|AGE|AGE|AGE|AGE|AGE|AGE|AGE|AGE|AGE|AGE|AGE|AGE|AGE|AGE|AGE|AGE|AGE|AGE|AGE|AGE|AGE|AGE|AGE
Location,http://psink.de/scio/Location,5378-5385|6989-6996,PREF|PREF,LOCATION|LOCATION
Gender,http://psink.de/scio/Gender,5871-5876|7362-7367|14541-14546,PREF|PREF|PREF,GENDER|GENDER|GENDER
Weight,http://psink.de/scio/Weight,6879-6884,PREF,WEIGHT
Result,http://psink.de/scio/Result,13897-13902|15243-15248,PREF|PREF,RESULT|RESULT
Trend,http://psink.de/scio/Trend,14548-14552,PREF,TREND
Increase,http://psink.de/scio/Increase,15080-15087|16014-16021|16540-16547|17689-17696|19316-19323,PREF|PREF|PREF|PREF|PREF,INCREASE|INCREASE|INCREASE|INCREASE|INCREASE
Function,http://psink.de/scio/Function,15193-15200,PREF,FUNCTION
Decrease,http://psink.de/scio/Decrease,15458-15465|23940-23947,PREF|PREF,DECREASE|DECREASE
Current,http://psink.de/scio/Current,18234-18240,PREF,CURRENT
Treatment,http://psink.de/scio/Treatment,18940-18948|24511-24519,PREF|PREF,TREATMENT|TREATMENT
Publication,http://psink.de/scio/Publication,21559-21569,PREF,PUBLICATION
