prefLabel,id,from_to,matchType,text
library,http://sbmi.uth.tmc.edu/ontology/ochv#C0023621,43-49|180-186|317-323|454-460|591-597|728-734|865-871|1002-1008,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,LIBRARY|LIBRARY|LIBRARY|LIBRARY|LIBRARY|LIBRARY|LIBRARY|LIBRARY
rules,http://sbmi.uth.tmc.edu/ontology/ochv#51007,55-59|192-196|329-333|466-470|603-607|740-744|877-881|1014-1018,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,RULES|RULES|RULES|RULES|RULES|RULES|RULES|RULES
applicable,http://sbmi.uth.tmc.edu/ontology/ochv#C1272460,101-110|238-247|375-384|512-521|649-658|786-795|923-932|1060-1069,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,APPLICABLE|APPLICABLE|APPLICABLE|APPLICABLE|APPLICABLE|APPLICABLE|APPLICABLE|APPLICABLE
license,http://sbmi.uth.tmc.edu/ontology/ochv#C0023636,129-135|266-272|403-409|540-546|677-683|814-820|951-957|1088-1094,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,LICENSE|LICENSE|LICENSE|LICENSE|LICENSE|LICENSE|LICENSE|LICENSE
license,http://sbmi.uth.tmc.edu/ontology/ochv#7395,129-135|266-272|403-409|540-546|677-683|814-820|951-957|1088-1094,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,LICENSE|LICENSE|LICENSE|LICENSE|LICENSE|LICENSE|LICENSE|LICENSE
