prefLabel,id,from_to,matchType,text
Right,http://psink.de/scio/Right,495-499|660-664|3356-3360|7045-7049|7831-7835|12753-12757|13398-13402|13417-13421|13521-13525|13650-13654|13758-13762|14219-14223|19316-19320|21044-21048,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,RIGHT|RIGHT|RIGHT|RIGHT|RIGHT|RIGHT|RIGHT|RIGHT|RIGHT|RIGHT|RIGHT|RIGHT|RIGHT|RIGHT
Age,http://psink.de/scio/Age,531-533|4038-4040|5022-5024,PREF|PREF|PREF,AGE|AGE|AGE
Left,http://psink.de/scio/Left,651-654|1039-1042|7036-7039|8493-8496|12886-12889|13457-13460|13512-13515|13619-13622|13727-13730|14206-14209|15230-15233|21035-21038|22166-22169,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,LEFT|LEFT|LEFT|LEFT|LEFT|LEFT|LEFT|LEFT|LEFT|LEFT|LEFT|LEFT|LEFT
Brain,http://psink.de/scio/Brain,1720-1724|10266-10270|10448-10452|16849-16853|16950-16954|23870-23874|24675-24679|24858-24862|25403-25407|25628-25632|25723-25727,PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF|PREF,BRAIN|BRAIN|BRAIN|BRAIN|BRAIN|BRAIN|BRAIN|BRAIN|BRAIN|BRAIN|BRAIN
Function,http://psink.de/scio/Function,2381-2388|19117-19124,PREF|PREF,FUNCTION|FUNCTION
Duration,http://psink.de/scio/Duration,3824-3831|5384-5391|10502-10509,PREF|PREF|PREF,DURATION|DURATION|DURATION
Substance,http://psink.de/scio/Substance,4419-4427,PREF,SUBSTANCE
Injury,http://psink.de/scio/Injury,4729-4734,PREF,INJURY
Gender,http://psink.de/scio/Gender,5028-5033,PREF,GENDER
Current,http://psink.de/scio/Current,5696-5702|5988-5994|6182-6188|9009-9015,PREF|PREF|PREF|PREF,CURRENT|CURRENT|CURRENT|CURRENT
Electrodes,http://psink.de/scio/Electrodes,6017-6026,PREF,ELECTRODES
Voltage,http://psink.de/scio/Voltage,6165-6171,PREF,VOLTAGE
Location,http://psink.de/scio/Location,7270-7277|7480-7487|9350-9357|11497-11504,PREF|PREF|PREF|PREF,LOCATION|LOCATION|LOCATION|LOCATION
Direction,http://psink.de/scio/Direction,7814-7822,PREF,DIRECTION
Volume,http://psink.de/scio/Volume,9412-9417,PREF,VOLUME
Rostral,http://psink.de/scio/Rostral,18475-18481|24045-24051,PREF|PREF,ROSTRAL|ROSTRAL
Pressure,http://psink.de/scio/Pressure,19387-19394|19931-19938,PREF|PREF,PRESSURE|PRESSURE
Recovery,http://psink.de/scio/Recovery,20685-20692|23692-23699|25937-25944,PREF|PREF|PREF,RECOVERY|RECOVERY|RECOVERY
Result,http://psink.de/scio/Result,22137-22142,PREF,RESULT
Hypothesis,http://psink.de/scio/Hypothesis,27035-27044,PREF,HYPOTHESIS
