Year,PMID
1988,2465651
1988,3264388
1988,3187976
1988,2907907
1988,3143469
1988,3418389
1988,3206275
1988,3064792
1988,3061024
1988,3053227
1988,2472641
1988,3235895
1988,2969340
1988,2460195
1988,3421536
1988,3419807
1988,3255781
1988,3255780
1988,3172999
1988,3076596
1988,3076595
1988,3057649
1988,2978418
1988,2454302
1988,3419560
1988,3184577
1988,2902528
1988,2850026
1988,2841902
1988,3401725
1988,3132308
1988,3292493
1988,3418749
1988,3367315
1988,3363465
1988,3289251
1988,3289250
1988,3289245
1988,3258634
1988,3196944
1988,3187695
1988,3380337
1988,3404014
1988,3404013
1988,3385801
1988,3364177
1988,3361441
1988,3353840
1988,3352009
1988,2453536
1988,3387066
1988,3343617
1988,3342839
1988,3278126
1988,3276818
1988,3352883
1988,3338226
1988,3278779
1988,3162557
1988,3414267
1988,3378379
1988,3363626
1988,3354364
1988,3346710
1988,3344088
1988,3344087
1988,3336206
1988,3335897
1988,3288713
1988,3278533
1988,3266700
1988,3258698
1988,3247425
1988,3247424
1988,3246698
1988,3246697
1988,3246696
1988,3246695
1988,3246694
1988,3246693
1988,3225858
1988,3213665
1988,3193464
1988,3165203
1988,3165201
1988,3057216
1988,2830771
1989,2628822
1989,2626685
1989,2617360
1989,2809730
1989,2615910
1989,2606067
1989,2480228
1989,2810423
1989,2634091
1989,2588059
1989,2588056
1989,2682392
1989,2803888
1989,2776720
1989,2774270
1989,2594343
1989,2508415
1989,2475595
1989,2809367
1989,2764152
1989,2673605
1989,2586714
1989,2812263
1989,2791066
1989,2787898
1989,2772718
1989,2530744
1989,2520123
1989,2520120
1989,2471626
1989,2768550
1989,2758321
1989,2782026
1989,2762007
1989,2747860
1989,2746287
1989,2735879
1989,2729639
1989,2715820
1989,2499400
1989,2785432
1989,2773281
1989,2711308
1989,2651138
1989,2582517
1989,2565376
1989,2520534
1989,2928921
1989,2926507
1989,2926501
1989,2924582
1989,2805997
1989,2784509
1989,2925498
1989,2706482
1989,2922776
1989,2764746
1989,2693998
1989,2646085
1989,2520059
1989,2520055
1989,2464675
1989,2706466
1989,2922646
1989,2912758
1989,2807404
1989,2776547
1989,2733264
1989,2730694
1989,2465503
1989,2917900
1989,2930385
1989,2921537
1989,2913925
1989,2912748
1989,2908899
1989,2812433
1989,2810381
1989,2810380
1989,2795321
1989,2781918
1989,2776530
1989,2776528
1989,2754736
1989,2753391
1989,2723493
1989,2713720
1989,2713719
1989,2713718
1989,2713717
1989,2713715
1989,2713714
1989,2713711
1989,2713706
1989,2703929
1989,2663663
1989,2654807
1989,2643834
1989,2626602
1989,2618820
1989,2614852
1989,2608901
1989,2540887
1989,2536508
1989,2517253
1989,2497682
1989,2497681
1989,2497680
1989,2497678
1989,2486141
1989,2471965
1990,1977932
1990,2086250
1990,9044918
1990,2293372
1990,2253126
1990,2134462
1990,2134449
1990,2134448
1990,2134447
1990,2134445
1990,2099875
1990,1980130
1990,2225635
1990,2123006
1990,2177175
1990,2234365
1990,2219210
1990,2136175
1990,2086047
1990,2166776
1990,2134431
1990,2121001
1990,2077104
1990,2120495
1990,2398138
1990,2352011
1990,2239140
1990,2218708
1990,2212495
1990,2136167
1990,2207670
1990,2358556
1990,2368306
1990,2362673
1990,2351603
1990,2292724
1990,2163499
1990,2163498
1990,2128684
1990,2118296
1990,2329801
1990,2352473
1990,2185194
1990,2343511
1990,2324572
1990,2324569
1990,2320211
1990,2312793
1990,2307618
1990,2114347
1990,2113634
1990,1690226
1990,2406161
1990,2155794
1990,2401908
1990,2396516
1990,2394228
1990,2342118
1990,2342117
1990,2319197
1990,2319192
1990,2318574
1990,2306608
1990,2304630
1990,2301932
1990,2301926
1990,2301629
1990,2293874
1990,2293623
1990,2293356
1990,2258947
1990,2258946
1990,2257048
1990,2244484
1990,2234407
1990,2215922
1990,2176774
1990,2141749
1990,2141747
1990,2141746
1990,2130641
1990,2128419
1990,2112263
1990,2096642
1990,2083875
1990,2082019
1990,2075808
1990,1982014
1990,1973579
1990,1967925
1990,1707100
1990,1701525
1990,1692454
1991,1810564
1991,1820271
1991,1802964
1991,1787345
1991,1961414
1991,1937684
1991,1813666
1991,1773227
1991,1750001
1991,1748878
1991,1667841
1991,1667690
1991,1920708
1991,1748611
1991,1797554
1991,10148437
1991,1961542
1991,1837648
1991,1789683
1991,1755785
1991,1755784
1991,1683668
1991,1794101
1991,1955370
1991,1664273
1991,1861161
1991,1802259
1991,1724469
1991,1685222
1991,1933355
1991,2072183
1991,1913376
1991,1813238
1991,1933308
1991,1890039
1991,2045903
1991,1920460
1991,1920459
1991,1896216
1991,1895627
1991,1820102
1991,1774592
1991,1668153
1991,1921464
1991,1886729
1991,1883090
1991,1880533
1991,1806082
1991,1884213
1991,2059109
1991,1652116
1991,1865001
1991,2051158
1991,2013592
1991,2008642
1991,1888573
1991,1830095
1991,1796265
1991,1708713
1991,1707147
1991,1857542
1991,2021037
1991,2003761
1991,1999233
1991,1989900
1991,2029615
1991,2011772
1991,2017856
1991,1829012
1991,1881262
1991,1714506
1991,1829820
1991,2072400
1991,2072398
1991,2058414
1991,2058366
1991,2031473
1991,2015071
1991,1870139
1991,1870138
1991,1870135
1991,1870134
1991,1850699
1991,1842613
1991,1842308
1991,1803032
1991,1803031
1991,1803028
1991,1803027
1991,1797596
1991,1773768
1991,1773766
1991,1758562
1991,1758561
1991,1719878
1991,1713398
1991,1712851
1991,1675858
1991,1649310
1992,1362987
1992,1281541
1992,1466114
1992,1333605
1992,1291826
1992,1284659
1992,1618033
1992,1484725
1992,1479425
1992,1462214
1992,1462213
1992,1454606
1992,1444885
1992,1281064
1992,1429164
1992,1332195
1992,1440031
1992,1339092
1992,1407431
1992,1397165
1992,1425945
1992,1510691
1992,1625028
1992,1527800
1992,1527532
1992,1523505
1992,1523504
1992,1434492
1992,1412436
1992,1359484
1992,1324778
1992,1641924
1992,1641925
1992,1641921
1992,1641103
1992,1473851
1992,1421106
1992,1363738
1992,1496770
1992,1639690
1992,1506033
1992,1386102
1992,1375167
1992,1623405
1992,1613810
1992,1613809
1992,1613806
1992,1613805
1992,1606933
1992,1567030
1992,1583159
1992,1579880
1992,1559563
1992,1559561
1992,1545271
1992,1568927
1992,1588636
1992,1588635
1992,1588634
1992,1588616
1992,1588612
1992,1588611
1992,1588610
1992,1588607
1992,1588604
1992,1588603
1992,1588602
1992,1588601
1992,1588600
1992,1585591
1992,1544970
1992,1473395
1992,1351259
1992,1351254
1992,1315182
1992,1314432
1992,1734452
1992,1730955
1992,1589248
1992,1313859
1992,1373129
1992,1474609
1992,1335518
1992,1738460
1992,1729714
1992,1727150
1992,1727130
1992,1636062
1992,1613818
1992,1605082
1992,1589265
1992,1578388
1992,1570411
1992,1545230
1992,1500961
1992,1474608
1992,1474607
1992,1471470
1992,1439588
1992,1404437
1992,1404436
1992,1404435
1992,1404434
1992,1404432
1992,1404431
1992,1404430
1992,1404428
1992,1404427
1992,1404426
1992,1404425
1992,1384082
1992,1370221
1992,1357183
1992,1341941
1992,1337615
1992,1333987
1992,1316056
1992,1311880
1992,1300063
1992,1287723
1992,1283792
1993,8149236
1993,8298102
1993,8235968
1993,7907403
1993,7907402
1993,8410254
1993,8291776
1993,8115048
1993,7505409
1993,8281452
1993,8272954
1993,8410225
1993,8270914
1993,7905606
1993,8413879
1993,8405278
1993,8405277
1993,8405276
1993,8405271
1993,8223376
1993,7691648
1993,8348426
1993,8400474
1993,8367052
1993,8351765
1993,8252611
1993,8103919
1993,7694445
1993,8407441
1993,8373859
1993,8371933
1993,8362318
1993,8361583
1993,8340826
1993,8268634
1993,8244428
1993,8103243
1993,8337809
1993,7690915
1993,8503522
1993,8501818
1993,8406674
1993,8339773
1993,8322969
1993,8313762
1993,8099259
1993,7683713
1993,8493602
1993,8271816
1993,8091579
1993,7687046
1993,8508311
1993,8488661
1993,8504227
1993,8491282
1993,8488449
1993,8488342
1993,8481926
1993,8450335
1993,8320479
1993,7906549
1993,7684000
1993,8475352
1993,8481783
1993,8487928
1993,8478604
1993,8454513
1993,7682969
1993,7682966
1993,8459460
1993,8450974
1993,8439715
1993,8437664
1993,8432363
1993,8432357
1993,8383312
1993,8382348
1993,8422584
1993,8483520
1993,8467596
1993,8467588
1993,8467587
1993,8457901
1993,8457897
1993,8457891
1993,8457890
1993,8457889
1993,8457888
1993,8457883
1993,8450950
1993,8445200
1993,8445198
1993,8442406
1993,8426687
1993,8426193
1993,8420897
1993,8420127
1993,8420116
1993,8420109
1993,8420108
1993,8420104
1993,8420102
1993,8417468
1993,8417466
1993,8417006
1993,8411220
1993,8411219
1993,8380240
1993,8374803
1993,8351761
1993,8320731
1993,8320730
1993,8320729
1993,8317242
1993,8317241
1993,8310791
1993,8299748
1993,8278676
1993,8258846
1993,8258845
1993,8247639
1993,8221911
1993,8110862
1993,8093898
1993,7802154
1993,7681352
1994,7899984
1994,7889371
1994,7991623
1994,7885555
1994,7869884
1994,7869883
1994,7866583
1994,7866575
1994,7723069
1994,7704827
1994,7701506
1994,7699407
1994,7802417
1994,7860781
1994,7989098
1994,7965063
1994,7945608
1994,7885718
1994,7708296
1994,7698941
1994,7700587
1994,7846578
1994,7846569
1994,7877757
1994,7841375
1994,8072125
1994,8072123
1994,7997114
1994,7957735
1994,7957733
1994,7861447
1994,7702709
1994,7702707
1994,7525335
1994,8084038
1994,7944690
1994,7893328
1994,8091423
1994,7995376
1994,7991089
1994,7984258
1994,7970857
1994,7864958
1994,7837278
1994,7530816
1994,7928570
1994,8080422
1994,8040022
1994,8010456
1994,7964912
1994,7814080
1994,8207481
1994,8073314
1994,8072588
1994,7996580
1994,7996579
1994,7891191
1994,8200439
1994,8188899
1994,8075816
1994,8059667
1994,8058346
1994,8052418
1994,8015401
1994,8201034
1994,8202789
1994,8169839
1994,8126799
1994,8075019
1994,8058611
1994,8024140
1994,8012171
1994,8007753
1994,7909561
1994,7516857
1994,8041515
1994,8190223
1994,8184343
1994,8157249
1994,8157128
1994,8157127
1994,8146742
1994,8076186
1994,8076185
1994,8015371
1994,7965141
1994,7912821
1994,8133758
1994,8015850
1994,8114912
1994,8114911
1994,8114906
1994,8137170
1994,8313714
1994,8307128
1994,8307127
1994,8271028
1994,8270999
1994,8254822
1994,8178626
1994,8152541
1994,8144981
1994,8125819
1994,8080818
1994,8036859
1994,8015835
1994,8003814
1994,7997071
1994,7976634
1994,7938524
1994,7886432
1994,7886211
1994,7886210
1994,7886209
1994,7886207
1994,7886206
1994,7886205
1994,7886204
1994,7859097
1994,7833972
1994,7815108
1994,7813675
1994,7795551
1994,7747158
1994,7723926
1995,8747256
1995,8747255
1995,8749032
1995,8846063
1995,8762551
1995,8762550
1995,8762549
1995,8762548
1995,8745233
1995,8742129
1995,8720057
1995,8586912
1995,7498405
1995,7497678
1995,8624719
1995,9064611
1995,8750084
1995,8553120
1995,8553112
1995,7472559
1995,8583503
1995,8545710
1995,8974628
1995,8845743
1995,8746806
1995,8594223
1995,8594213
1995,8594206
1995,8593295
1995,8591071
1995,8551099
1995,8541093
1995,7589323
1995,7577724
1995,7559029
1995,8578372
1995,7486597
1995,7490423
1995,8532215
1995,8528565
1995,8524601
1995,8524600
1995,7657809
1995,7643599
1995,7546935
1995,7502133
1995,8531417
1995,8529172
1995,7616281
1995,7586707
1995,7478738
1995,7478195
1995,7478189
1995,7608226
1995,7561352
1995,7556312
1995,7540200
1995,7478727
1995,7472337
1995,7669978
1995,8582228
1995,7649228
1995,7600090
1995,7473801
1995,7473800
1995,7473799
1995,7660560
1995,7663698
1995,7771558
1995,7660281
1995,7630649
1995,7630646
1995,7591519
1995,7620897
1995,7552255
1995,7624038
1995,8520994
1995,7789460
1995,7701386
1995,7640980
1995,7640976
1995,7629867
1995,7620299
1995,7619907
1995,7596512
1995,7576312
1995,7576305
1995,7541476
1995,7604341
1995,9101249
1995,8568556
1995,7778252
1995,7753403
1995,7743565
1995,7735645
1995,7559145
1995,7768282
1995,7869082
1995,7783230
1995,7756680
1995,7753311
1995,7746750
1995,7556588
1995,7540218
1995,7751209
1995,8914793
1995,8789661
1995,8722515
1995,8615075
1995,8571667
1995,8561042
1995,8552782
1995,8552781
1995,7780441
1995,7753505
1995,7735281
1995,7659833
1995,7640972
1995,7621942
1995,7619768
1995,7571173
1995,7566528
1995,7543799
1995,7500313
1996,8978469
1996,8994228
1996,9121805
1996,9007541
1996,9002066
1996,9002061
1996,9002060
1996,8985951
1996,8962298
1996,8934558
1996,8923761
1996,8966615
1996,9116197
1996,8950700
1996,9252004
1996,9020574
1996,9020573
1996,8931012
1996,8912904
1996,8905750
1996,8905013
1996,8898822
1996,8930318
1996,8930305
1996,9237789
1996,9237788
1996,9237787
1996,8948552
1996,8938604
1996,8938603
1996,8915909
1996,8915908
1996,8902962
1996,8880776
1996,8880775
1996,8876716
1996,8855330
1996,8855329
1996,8837650
1996,8904799
1996,8926995
1996,8892379
1996,8893431
1996,8893428
1996,8930993
1996,9594166
1996,9165429
1996,8913970
1996,8890277
1996,8875486
1996,8875323
1996,8823387
1996,8797678
1996,8782452
1996,8873865
1996,8872895
1996,8874880
1996,8902871
1996,8899569
1996,8899568
1996,8880855
1996,8880851
1996,8880607
1996,8877956
1996,8756163
1996,8864490
1996,8842901
1996,8842900
1996,8677439
1996,8662542
1996,8963994
1996,8863192
1996,8863191
1996,8837204
1996,8819026
1996,8811122
1996,8811121
1996,8682179
1996,8963984
1996,8854272
1996,8791233
1996,8761958
1996,8654527
1996,8654523
1996,8813363
1996,8736502
1996,8734896
1996,8797176
1996,8740714
1996,8710051
1996,8681867
1996,8676265
1996,8629929
1996,8859897
1996,8804047
1996,9062807
1996,8963968
1996,8963965
1996,8926629
1996,8864986
1996,8861623
1996,8861302
1996,8758278
1996,8734437
1996,8627308
1996,8618960
1996,8606511
1996,8833112
1996,8710182
1996,8965325
1996,8868337
1996,8861107
1996,8786386
1996,8769875
1996,8725553
1996,8683956
1996,8670645
1996,8666619
1996,8619181
1996,8610296
1996,8606433
1996,8593899
1996,9208592
1996,9094380
1996,8962601
1996,8758444
1996,8750545
1996,8699828
1996,8635539
1996,8592144
1996,8730788
1996,8919302
1996,8834102
1996,8720399
1996,8551338
1996,10975719
1996,9388319
1996,9243927
1996,9122750
1996,8987177
1996,8922266
1996,8906254
1996,8903674
1996,8861702
1996,8848322
1996,8848126
1996,8831122
1996,8793215
1996,8787206
1996,8787172
1996,8787148
1996,8747967
1996,8685080
1996,8682707
1996,8566208
1996,8566203
1996,8522975
1997,10322962
1997,10097004
1997,9867998
1997,9772557
1997,9591304
1997,9591303
1997,9517482
1997,9517460
1997,9475376
1997,9453362
1997,9417835
1997,9417833
1997,9417831
1997,9417830
1997,9417829
1997,9417828
1997,9417827
1997,9417825
1997,9417824
1997,9417823
1997,9436650
1997,9391013
1997,9421454
1997,9418975
1997,9418967
1997,9413726
1997,9410710
1997,9383223
1997,9400423
1997,9398479
1997,9398450
1997,9398446
1997,9398444
1997,9392046
1997,9392044
1997,9392042
1997,9369982
1997,9369980
1997,9369296
1997,9362300
1997,9360216
1997,9344570
1997,9344569
1997,9344555
1997,9326288
1997,9306271
1997,9342727
1997,9378855
1997,9334413
1997,9333941
1997,9313269
1997,9284500
1997,9284072
1997,9302296
1997,9302174
1997,9300440
1997,9294414
1997,9294413
1997,9292692
1997,9284995
1997,9278124
1997,9313901
1997,9285520
1997,9350423
1997,9301195
1997,9300564
1997,9300563
1997,9300562
1997,9300561
1997,9282344
1997,9270048
1997,9270046
1997,9257310
1997,9219976
1997,9272840
1997,9272824
1997,9204937
1997,9204931
1997,9204923
1997,9262179
1997,9262171
1997,9252016
1997,9772453
1997,9378459
1997,9284004
1997,9263340
1997,9261776
1997,9257665
1997,9256330
1997,9240400
1997,9236634
1997,9232754
1997,9228603
1997,9226335
1997,9221497
1997,9201829
1997,9169544
1997,9221952
1997,9221936
1997,9183689
1997,9312682
1997,9295752
1997,9251297
1997,9217092
1997,9217086
1997,9192382
1997,9192376
1997,9184908
1997,9171180
1997,9166741
1997,9153661
1997,9151752
1997,9187324
1997,15739365
1997,9238789
1997,9203052
1997,9201240
1997,9199396
1997,9199395
1997,9192969
1997,9191697
1997,9187610
1997,9187587
1997,9182952
1997,9171168
1997,9152451
1997,9149761
1997,9087408
1997,10374553
1997,9168838
1997,9151772
1997,9144609
1997,9142894
1997,9113343
1997,9112590
1997,9106471
1997,10374532
1997,9472411
1997,9238780
1997,9111721
1997,9104932
1997,9085310
1997,9058319
1997,9055294
1997,9055229
1997,9052307
1997,9056212
1997,9128159
1997,9124418
1997,9069440
1997,9069439
1997,9051651
1997,9039583
1997,9023875
1997,8994060
1997,8989657
1997,10921077
1997,9867944
1997,9867940
1997,9639800
1997,9639784
1997,9603065
1997,9591081
1997,9587481
1997,9501551
1997,9416326
1997,9416325
1997,9416307
1997,9416301
1997,9416300
1997,9413570
1997,9407705
1997,9248561
1997,9248556
1997,9238768
1997,9221104
1997,9208207
1997,9100175
1997,9097253
1997,9066088
1997,9048312
1997,9048311
1997,9028769
1997,9021627
1997,9000453
1997,9000447
1997,8999511
1997,8993713
1997,8993706
1997,8993705
1997,8993704
1997,8993702
1997,8993700
1997,8993699
1997,8986744
1997,8981236
1997,8971839
1997,8971834
1998,11825508
1998,11825429
1998,11715537
1998,10923399
1998,10437103
1998,10437099
1998,10437098
1998,10437080
1998,10374355
1998,10232947
1998,10195115
1998,10096044
1998,10068188
1998,10068187
1998,10023440
1998,9988891
1998,9951559
1998,9932426
1998,9932425
1998,9932385
1998,9928361
1998,9928354
1998,9928352
1998,9928351
1998,9928328
1998,9928327
1998,9914245
1998,9886173
1998,9885314
1998,9881734
1998,9881728
1998,9878202
1998,9878200
1998,9878195
1998,9875548
1998,9875278
1998,9872459
1998,9872458
1998,9872457
1998,9871452
1998,9871451
1998,9870140
1998,9870132
1998,9862903
1998,9855129
1998,9848491
1998,9846943
1998,9845225
1998,9842828
1998,9840767
1998,9840766
1998,9840350
1998,9836360
1998,9836264
1998,9836263
1998,9835219
1998,9827690
1998,9826290
1998,9822165
1998,9809670
1998,9808300
1998,9800272
1998,9795945
1998,9795113
1998,9791851
1998,9789063
1998,9786985
1998,9786407
1998,9784289
1998,9779524
1998,9773452
1998,9773443
1998,9772800
1998,9770243
1998,9762866
1998,9760698
1998,9760142
1998,9755066
1998,9749747
1998,9743566
1998,9731249
1998,9729336
1998,9728465
1998,9726376
1998,9726263
1998,9718257
1998,9715194
1998,9708536
1998,9704375
1998,9698165
1998,9692736
1998,9686335
1998,9685649
1998,9682835
1998,9682827
1998,9682310
1998,9682014
1998,9680175
1998,9678508
1998,9675307
1998,9674558
1998,9674553
1998,9674552
1998,9674550
1998,9671667
1998,9671662
1998,9670992
1998,9670387
1998,9668671
1998,9665584
1998,9657552
1998,9657164
1998,9656018
1998,9655615
1998,9654555
1998,9651546
1998,9651218
1998,9648198
1998,9565524
1998,9636114
1998,9633812
1998,9555032
1998,9631482
1998,9624630
1998,9622586
1998,9618703
1998,9618701
1998,9582259
1998,9582256
1998,9582254
1998,9570810
1998,9605351
1998,9605350
1998,9602093
1998,9601670
1998,9592039
1998,9588600
1998,9582207
1998,9585325
1998,9585116
1998,9584284
1998,9583959
1998,9583756
1998,9578438
1998,9576257
1998,9575911
1998,9574633
1998,9547234
1998,9566616
1998,9566613
1998,9565998
1998,9497414
1998,9479054
1998,9562256
1998,9555974
1998,9555970
1998,9552105
1998,9551381
1998,9549868
1998,9547096
1998,9545086
1998,9537294
1998,9535120
1998,9535113
1998,9530781
